Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21
Ch1-Ch2 Shift,9.0,5.5,24.236336356801125,5.2888021868310195,8.0,5.0,3.0,3.0,-1.0,-8.0,-4.0,-2.0,113.0,1.0,3.0,4.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,
Ch 1 Peak Width,35.84762817199621,36.17145072062319,13.559181106458208,2.958855894379039,15.214440598130551,9.291814194291916,16.112434590868414,22.8737111348902,,41.59567791923526,65.41384953339826,54.95133322280651,48.035949091282056,47.45769911724922,44.053896553992836,43.26198681600829,39.96035842854787,38.58640964133263,36.17145072062319,34.50880040979383,31.472940729444773,31.81922464575261,29.790307975539744,30.532649944740065,
Ch 1 Peak Max,1764.2233725401122,2056.8113687228015,819.2588975034167,178.77694817026074,592.8420440030799,606.6433690198293,594.7954215415398,688.085794741393,,802.3277021907602,946.635798393962,1207.8241613130954,1616.8502795874679,1774.6051728208004,2056.8113687228015,2100.3917575129813,2313.795775579005,2368.7885683987215,2470.389412322992,2490.9288926561794,2753.794761915989,2801.02217938758,2747.625932536787,2586.0856856171686,
Ch 1 Peak Min,620.8409752351162,626.4088811128472,47.85001902446397,10.441730199270626,526.5717721011066,549.3288056586456,537.5174134909979,591.3248493391299,,665.7559648544533,693.8268399885533,701.4217941473198,695.714141972595,619.8680810254236,638.764751694822,633.913599415348,633.4105938954458,606.4991455708241,612.3712893986822,633.4784060798052,591.7483951341796,630.6980687878158,626.4088811128472,607.3557357992122,
Ch 1 Peak Amp,1143.3823973049962,1418.0466170279794,810.941820495593,176.96201317268316,66.27027190197327,57.31456336118367,57.27800805054187,96.76094540226313,,136.5717373363069,252.8089584054087,506.40236716577556,921.1361376148728,1154.7370917953767,1418.0466170279794,1466.4781580976332,1680.385181683559,1762.2894228278974,1858.0181229243099,1857.4504865763743,2162.0463667818094,2170.324110599764,2121.2170514239397,1978.7299498179564,
Ch 1 Peak Rel Amp,1.8303175418542117,2.2199825730294354,1.321272738103983,0.2883253493353841,0.12585230620613058,0.1043356233475932,0.1065602836539567,0.16363416066550232,,0.2051378351017314,0.36436895178281015,0.7219655439725554,1.3240152557530698,1.8628755490767328,2.2199825730294354,2.313372294663107,2.6529161303559325,2.905675029713798,3.0341365689250233,2.9321449140957365,3.6536581840522997,3.4411459587486397,3.386313820544003,3.257942311541965,
Ch 2 Peak Width,38.62580781468063,34.931268431874095,18.507863120189153,4.038746842864208,,9.286839478728838,16.298622023928544,,,85.7972834305427,82.15756274646787,41.17046765889169,32.8547798427238,31.128038636589892,30.394114797962047,29.500544255206606,32.00990170733745,33.85606214251967,34.931268431874095,37.422082665321845,37.72753015565169,41.04429941458825,39.753643077625114,41.305692383610406,
Ch 2 Peak Max,2222.816721599025,2540.460153051659,766.418322545054,167.24618938399001,,666.7948206287405,646.4446722016688,,,1078.8853498224187,1395.687470002163,1822.1636354882376,2332.3769276350986,2530.645179606732,2755.454730648802,2854.5892737367258,2898.162537755794,2940.542116672086,2858.1827593972275,2724.744480396593,2646.2806451944125,2642.8245538886713,2540.460153051659,2453.6449610563964,
Ch 2 Peak Min,761.8519062364055,793.5806779769528,78.6933214434708,17.172290581056977,,559.8848187662294,578.2100433236828,,,807.4470792740068,819.7270546297398,793.5806779769528,825.1968747603989,830.6943418103137,828.7631125673129,816.2588333276024,815.4459857676684,803.8377105282743,752.3875483059674,762.8037976441283,708.6157835301233,758.4773465332946,744.1820347700343,745.9693625031628,
Ch 2 Peak Amp,1460.9648153626197,1796.2781182816245,721.8279018509427,157.5157618553857,,106.91000186251108,68.23462887798598,,,271.4382705484119,575.9604153724233,1028.5829575112848,1507.1800528746996,1699.9508377964185,1926.6916180814892,2038.3304404091234,2082.7165519881255,2136.704406143812,2105.79521109126,1961.940682752465,1937.6648616642892,1884.3472073553767,1796.2781182816245,1707.6755985532336,
Ch 2 Peak Rel Amp,1.8731481767654032,2.324779649172672,0.9269552283357202,0.20227821427064346,,0.19094999235396232,0.11801010664871509,,,0.33616849638302976,0.7026246262331518,1.2961290339545755,1.8264490559447633,2.046421592437663,2.324779649172672,2.497161877072205,2.554082782107802,2.658129095162244,2.7988171997696503,2.5720122118057036,2.7344364981702656,2.4843816574984023,2.4137617334940193,2.2892033968030336,
