Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
Ch1-Ch2 Shift,31.0,48.0,25.84569596664017,6.6733300033291725,,,,,,,,,,0.0,,-1.0,56.0,48.0,52.0
Ch 1 Peak Width,,,,,,,,,,,,,,,,,,,
Ch 1 Peak Max,,,,,,,,,,,,,,,,,,,
Ch 1 Peak Min,,,,,,,,,,,,,,,,,,,
Ch 1 Peak Amp,,,,,,,,,,,,,,,,,,,
Ch 1 Peak Rel Amp,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Width,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Max,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Min,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Amp,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Rel Amp,,,,,,,,,,,,,,,,,,,
